observation_date,GDPC1,Real PCE,GPDIC1,GCEC1,NETEXC
2010-01-01,250720.40,127002.50,51643.70,58963.30,12466.60
2010-04-01,254803.20,128061.80,53803.90,59057.00,13510.60
2010-07-01,257523.50,130556.60,55439.30,59400.70,10980.90
2010-10-01,261622.40,132505.10,58077.50,60193.90,9974.60
2011-01-01,266189.00,134228.40,58433.90,60699.10,10908.30
2011-04-01,268522.70,134059.70,60255.40,61112.40,11339.10
2011-07-01,273889.00,135056.30,62191.00,61746.50,11627.60
2011-10-01,275585.70,134933.10,63219.00,61971.20,9597.40
2012-01-01,273515.20,136353.00,64970.70,61984.80,1542.00
2012-04-01,275876.60,137892.20,63922.40,63103.30,12804.90
2012-07-01,279124.20,138092.40,63797.70,63108.10,11714.10
2012-10-01,279278.40,139357.70,63498.90,64409.80,10214.20
2013-01-01,283269.70,140151.50,64472.50,64743.80,15553.30
2013-04-01,287905.60,141953.20,64859.50,65534.20,16367.50
2013-07-01,290479.80,143047.70,66261.60,66179.30,11373.30
2013-10-01,293244.40,143782.60,65794.00,66201.00,14478.30
2014-01-01,297315.30,145308.90,64918.10,66999.80,13674.90
2014-04-01,298786.80,146206.10,65181.10,66768.50,12440.70
2014-07-01,300857.70,146718.70,65083.10,69344.10,13107.20
2014-10-01,305196.40,150531.10,66470.20,69395.10,14034.40
2015-01-01,304962.30,150436.20,64424.10,69581.90,12537.20
2015-04-01,306187.60,151207.50,65239.80,69231.80,12460.70
2015-07-01,306536.50,153013.70,65329.80,70029.30,11274.20
2015-10-01,308543.80,155554.40,66499.30,71242.80,8841.40
2016-01-01,309006.60,157123.80,68718.20,71771.90,8458.70
2016-04-01,318356.20,161683.00,71829.10,73289.90,6681.80
2016-07-01,321250.60,162774.80,74397.80,73624.00,3508.60
2016-10-01,325667.80,162635.50,73937.80,74189.20,6497.10
2017-01-01,326864.40,164164.60,72118.00,74994.90,10706.50
2017-04-01,330368.10,165954.40,74405.30,75597.40,7984.70
2017-07-01,335895.20,169065.30,76449.70,75298.60,5131.80
2017-10-01,340362.30,169347.80,77347.10,77426.30,8690.80
2018-01-01,343925.20,171824.50,81415.50,78538.20,6057.70
2018-04-01,345948.10,171447.00,81128.50,77554.40,6728.90
2018-07-01,348494.00,172338.60,80044.60,79053.70,10962.10
2018-10-01,351989.50,175605.00,81595.10,79469.00,7833.20
2019-01-01,358270.30,179082.30,83152.80,79845.90,10089.80
2019-04-01,356928.00,178005.60,81777.70,80921.20,10438.20
2019-07-01,360568.50,179199.60,82985.50,81450.50,5719.20
