observation_date,GDPC1,Real PCE,GPDIC1,GCEC1,NETEXC
2010-01-01,16582.71,11202.19125,2174.335,3549.775,-341.829
2010-04-01,16743.162,11302.52333,2288.469,3560.566,-400.796
2010-07-01,16872.266,11383.23148,2390.072,3535.371,-426.795
2010-10-01,16960.864,11453.05809,2383.297,3512.905,-382.601
2011-01-01,16920.632,11496.92383,2338.901,3469.798,-377.139
2011-04-01,17035.114,11508.76663,2434.538,3446.079,-352.145
2011-07-01,17031.313,11543.78696,2445.296,3396.917,-350.615
2011-10-01,17222.583,11563.85733,2633.829,3394.613,-366.665
2012-01-01,17367.01,11647.1826,2692.179,3380.162,-353.33
2012-04-01,17444.525,11667.60318,2752.614,3362.33,-341.752
2012-07-01,17469.65,11691.31561,2759.86,3357.201,-341.978
2012-10-01,17489.852,11737.80039,2736.423,3324.137,-316.566
2013-01-01,17662.4,11814.182,2845.38,3293.099,-303.352
2013-04-01,17709.671,11847.90803,2882.489,3288.858,-319.485
2013-07-01,17860.45,11896.01777,2998.991,3272.825,-318.791
2013-10-01,18016.147,12000.74802,3027.805,3247.579,-275.552
2014-01-01,17953.974,12043.9315,2998.148,3233.646,-329.736
2014-04-01,18185.911,12159.49922,3121.321,3238.033,-339.861
2014-07-01,18406.941,12279.8119,3193.152,3259.9,-335.386
2014-10-01,18500.031,12421.32319,3203.351,3257.472,-385.286
2015-01-01,18666.621,12516.70471,3314.895,3277.17,-443.637
2015-04-01,18782.243,12602.86501,3328.049,3309.301,-458.897
2015-07-01,18857.418,12691.53897,3335.27,3326.769,-496.2
2015-10-01,18892.206,12743.25572,3315.334,3341.055,-507.13
2016-01-01,19001.69,12839.30366,3301.09,3371.646,-510.318
2016-04-01,19062.709,12902.90046,3287.033,3369.042,-496.323
2016-07-01,19197.938,12992.50731,3301.079,3383.696,-479.531
2016-10-01,19304.352,13059.51671,3391.749,3389.649,-537.183
2017-01-01,19398.343,13159.94132,3382.703,3380.244,-525.099
2017-04-01,19506.949,13225.30183,3435.929,3389.811,-544.566
2017-07-01,19660.766,13314.84757,3493.166,3394.009,-541.784
2017-10-01,19882.352,13460.40764,3558.859,3424.498,-561.864
2018-01-01,20044.077,13557.99961,3612.936,3431.709,-558.487
2018-04-01,20150.476,13630.68137,3612.389,3456.309,-549.033
2018-07-01,20276.154,13693.54744,3722.248,3483.628,-622.384
2018-10-01,20304.874,13736.28729,3724.752,3488.352,-644.254
2019-01-01,20431.641,13757.96054,3755.53,3536.6,-619.366
2019-04-01,20602.275,13875.33115,3790.049,3584.587,-649.034
2019-07-01,20843.322,14032.60188,3819.94,3625.512,-634.972
2019-10-01,20985.448,14124.40072,3770.431,3654.831,-561.926
